U+4F64	U+4F64	null	null	wǎ	null	null
U+4F65	U+4F65	null	null	qiān	null	null
U+4F62	U+4F62	null	null	qú	KARE	KYO
U+4F63	U+4F63	null	null	yōng	null	YOU
U+4F60	U+4F60	null	NI	nǐ	NANJI	JI NI
U+4F61	U+4F61	null	null	xiān	KARUI	KEN
U+4F68	U+4F68	null	null	bao	null	null
U+4F69	U+4F69	패	PHAY	pèi	OBIDAMA OBIRU	HAI
U+4F66	U+4F66	null	null	shi	null	null
U+4F67	U+4F67	null	null	kǎ	null	null
U+4F6E	U+4F6E	null	null	gé	AWASERU	KOU
U+4F6D	U+4F6D	null	null	xiáng	null	null
U+4F6C	U+4F6C	null	null	lǎo	OOKII	RYOU RO ROU
U+4F6B	U+4F6B	null	null	hè	ITARU	KAKU KYAKU
U+4F6A	U+4F6A	회	HOY	huí	SAMAYOU KURAIKOYO	KUWAI E
U+4F6F	U+4F6F	양	YANG	yáng	ITSUWARU	YOU
U+4F73	U+4F73	가	KA KAY	jiā	YOI	KA
U+4F74	U+4F74	null	I	èr	TASUKE SOHI NARABU ORU TSUGU	JI NI DAI NAI
U+4F75	U+4F75	null	PYENG	bìng	AWASERU NARABU SHIKASHI	HEI
U+4F76	U+4F76	길	KIL	jí	TADASHII	KITSU GOCHI
U+4F70	U+4F70	백	PEYK	bǎi	OSA	HAKU BYAKU
U+4F71	U+4F71	null	null	fǎ	NORI	HOU
U+4F72	U+4F72	null	null	mǐng	null	null
U+4F77	U+4F77	null	HANG HAN	hěn	MOTORU	KOU GOU GIN KON GON
U+4F78	U+4F78	괄	KWAL	huó	AU ATSUMARU TSUTOMERUSAMA ITARU	KATSU GACHI
U+4F79	U+4F79	궤	KWEY	guǐ	KASANARU YORU MOTORU SASAERU	KI
U+4F7D	U+4F7D	차	CHA	cì	SUBOSHIKOI NARABU TASUKERU OYOBI KAHARUGAHARU	SHI
U+4F7C	U+4F7C	교	KYO	jiǎo	UTSUKUSHII	KOU KYOU
U+4F7F	U+4F7F	사	SA SI	shǐ	TSUKAU TSUKAI	SHI
U+4F7E	U+4F7E	일	IL	yì	YASUI YASUNZURU	ITSU ICHI
U+4F7B	U+4F7B	조	CO	tiāo	KARUI	CHOU JOU YOU
U+4F7A	U+4F7A	전	CEN	quán	null	SEN
U+4F42	U+4F42	정	CENG	zhēng	OSOREAWATERU	YAI SHOU
U+4F43	U+4F43	전	CEN	diàn	TSUKUDA	TEN DEN
U+4F40	U+4F40	null	SA	sì	HIRU	SHI JI
U+4F41	U+4F41	null	I	yǐ	OROKANASAMA OMOU	AI I CHI SHI JI TAI
U+4F46	U+4F46	단	TAN	dàn	TADASHI TADA	TAN DAN
U+4F47	U+4F47	저	CE	zhù	TATAZUMU	CHO
U+4F44	U+4F44	null	null	hān	null	null
U+4F45	U+4F45	null	null	mài	null	null
U+4F48	U+4F48	포	PHO	bù	AMANESHI	HO HU
U+4F49	U+4F49	구	KWU KE	qū	null	KYO KO KYA KA
U+4F4C	U+4F4C	null	null	cǐ	CHIISAI	SHI
U+4F4B	U+4F4B	소	SO	zhāo	TASUKERU	SHOU JOU
U+4F4A	U+4F4A	null	PHI	bǐ	null	null
U+4F4F	U+4F4F	주	CWU	zhù	SUMU TODOMARU YAMU	JUU
U+4F4E	U+4F4E	저	CE	dī	HIKUI	TEI
U+4F4D	U+4F4D	위	WI	wèi	KURAI KURAISURU	I
U+4F50	U+4F50	좌	CWA	zuǒ	TASUKE TASUKERU SUKE	SA
U+4F51	U+4F51	우	WU	yòu	TASUKERU	YUU U
U+4F52	U+4F52	null	ANG	yǎng	AOGU AOMUKE TANOSHIMU	AU YOU
U+4F53	U+4F53	분	PWUN CHEY	tǐ	KARADA	TEI TAI HON
U+4F54	U+4F54	점	CEM	zhàn	MIRU UKAGAU SHIMERU	CHIN SEN
U+4F55	U+4F55	하	HA	hé	NANI NANZO IZUKU	KA GA
U+4F56	U+4F56	필	PHIL	bì	TADASHII NARABU	HITSU BICHI
U+4F57	U+4F57	타	THA	tuó	HOKA WABIRU	TA
U+4F58	U+4F58	null	SA	shé	null	SHA JA
U+4F59	U+4F59	여	YE	yú	AMARU WARE AMARI	YO
U+4F5B	U+4F5B	불	PWUL PHIL	fú	HOTOKE	BUTSU FUTSU HOTSU
U+4F5A	U+4F5A	일	IL CIL	yì	NOGARERU	ITSU TETSU
U+4F5D	U+4F5D	구	KWU	gōu	SEMUSHI	KOU KU
U+4F5C	U+4F5C	작	CAK CWU	zuò	TSUKURU TSUKURI NASU	SAKU SA
U+4F5F	U+4F5F	퉁	TONG	tóng	null	TOU ZU
U+4F5E	U+4F5E	녕	NYENG	nìng	OMONERU YOKOSHIMA	NEI DEI
U+4F89	U+4F89	과	KWA	kuǎ	OGORU HOKORU	KA KE A
U+4F88	U+4F88	치	CHI	chǐ	OGORU	SHI I
U+4F83	U+4F83	간	KAN	kǎn	TSUYOI	KAN
U+4F82	U+4F82	null	THAK	tuō	YOSERU TANOMU	TAKU
U+4F81	U+4F81	신	SIN	shēn	YUKUSAMA TSUKAHI	SHIN
U+4F80	U+4F80	null	HYENG	xíng	NARU	KEI KYAU
U+4F87	U+4F87	null	I	yí	HITOSHII TSURANERU UTSURU	I
U+4F86	U+4F86	내 래	LAY	lái	KURU	RAI
U+4F85	U+4F85	null	HAY	gāi	MUSEBU	KAI
U+4F84	U+4F84	질	CIL	zhí	KATAI OROKA TODOMARU	SHITSU SHICHI TETSU
U+4F90	U+4F90	null	HYEK	xù	SHIZUKA SABISHII	KYOKU KEKI KI
U+4F8B	U+4F8B	례 예	LYEY	lì	TATOERU TAGUI TAMESHI	REI RETSU
U+4F8C	U+4F8C	null	null	yīn	KAGE KAGERU	IN
U+4F8A	U+4F8A	광	KWANG	guāng	SAKAN	KOU
U+4F8F	U+4F8F	주	CWU	zhū	MIJIKAI AZAMUKU	SHU CHU
U+4F8D	U+4F8D	시	SI	shì	SAMURAI HABERU SABURAU	JI
U+4F8E	U+4F8E	null	MI	mǐ	ITSUKUSHIMU	BI MI
U+4F99	U+4F99	null	CHIK	chī	OSORERU	CHOKU CHIKI
U+4F92	U+4F92	null	AN	ān	YASURAKA	AN
U+4F91	U+4F91	유	YU	yòu	SUSUMERU TASUKERU	YUU U
U+4F94	U+4F94	모	MO	móu	HITOSHII SOROU SHITAGAU TSUTOMERU TORU HAKARU	BOU MU
U+4F93	U+4F93	null	null	lù	KIISAMA	ROTSU ROCHI
U+4F96	U+4F96	륜	LYUN	lún	OMOU TSUIZURU MARUI	RON RIN
U+4F95	U+4F95	null	null	ér	null	JI NI
U+4F98	U+4F98	차	CHA	chà	HOKORU WABIRU WABISHII	TA
U+4F97	U+4F97	동	TONG	dòng	OROKA ITAMU KATACHI NAHOI MAKOTO TSUTSUSHIMU	TOU TSU ZU DOU
U+4F9A	U+4F9A	순	SWUN	xùn	SUMIYAKA SHIMESU TONAERU HUKAI TSUKAHU	SHUN JUN
U+4F9B	U+4F9B	공	KONG	gōng	SONAERU TOMO SONAE	KYOU KU
U+4F9C	U+4F9C	주	CWU	zhōu	OOIKAKUSU ITSUWARU	CHUU CHU
U+4F9D	U+4F9D	의	UY	yī	YORU	I E
U+4F9E	U+4F9E	null	YE	rú	HITOSHII SHITAGAHENARASU	JO NYO
U+4F9F	U+4F9F	null	null	cún	null	SEN
U+4FC7	U+4FC7	null	KWANG	guàng	AWATADASHIISAMA	KYAU GAU KAU
U+4FC8	U+4FC8	null	null	kù	null	KOKU
U+4FC9	U+4FC9	오	O	wǔ	MUKAERU AU	GO
U+4FC3	U+4FC3	촉	CHOK	cù	UNAGASU SEMARU	SOKU
U+4FC4	U+4FC4	아	A	é	NIWAKA	GA
U+4FC5	U+4FC5	구	KWU	qiú	ITADAKU	KYUU GU
U+4FC6	U+4FC6	null	null	xú	YURUYAKA OSOI	SHO JO
U+4FC0	U+4FC0	null	null	tuǐ	YOWAI	TAI TE
U+4FC1	U+4FC1	우	YU	yǔ	OOKII	GU
U+4FC2	U+4FC2	계	KYEY	xì	KAKARU TSUNAGARI KAKAWARU	KEI
U+4FBF	U+4FBF	변 편	PHYEN PYEN	biàn	TAYORI SUNAWACHI	BEN BIN
U+4FBC	U+4FBC	null	null	bó	TSUYOI URAMU	HOTSU BOCHI
U+4FBB	U+4FBB	탈	THAL	tuì	KANAHU YOI TEGARU TAYASUI KARUI	TATSU TACHI TAI TE
U+4FBE	U+4FBE	null	null	xiāo	OOKII	KOU KYOU
U+4FBD	U+4FBD	null	null	nán	OTOKO	DAN NAN
U+4FBA	U+4FBA	null	null	shèn	null	SHIN JIN
U+4FD8	U+4FD8	부	PWU	fú	TORIKO	FU
U+4FD9	U+4FD9	null	HUY	xī	UTSUTAERU KOBIHETSURAU HONOKA	KI KE KAI
U+4FD6	U+4FD6	null	null	pěi	null	HAI HE
U+4FD7	U+4FD7	속	SOK	sú	NARAWASHI	ZOKU
U+4FD4	U+4FD4	현	HYEN	qiàn	UKAGAU	KEN
U+4FD5	U+4FD5	null	null	sàn	null	null
U+4FD2	U+4FD2	null	HUN	hùn	MATSUTASHI KEGASU	KON GON KAN
U+4FD3	U+4FD3	경	KYENG	jìng	ISOGU WAGI NAHOI KATAI	GAU KYAU GEN GEI
U+4FD0	U+4FD0	리	LI	lì	KASHIKOI	RI
U+4FD1	U+4FD1	용	YONG	yǒng	ITAMU	YOU YUU TOU
U+4FCF	U+4FCF	소	SO	qiào	NIRU KATADORU MIMETOISAMA	SEU
U+4FCE	U+4FCE	조	CO	zǔ	MANAITA	SHO SO
U+4FCD	U+4FCD	null	LYANG	liáng	SAMAYOU	RYOU ROU
U+4FCC	U+4FCC	보	PO	fǔ	TASUKE	FU
U+4FCB	U+4FCB	null	UP	yì	TAGAYASU	CHUU JUU YUU
U+4FCA	U+4FCA	준	CWUN	jùn	SUGURERU	SHUN
U+4FA1	U+4FA1	null	KA	sì	ATAI	KA
U+4FA2	U+4FA2	null	null	zài	null	BU
U+4FA3	U+4FA3	null	LYE	lǚ	TOMO	RYO RO
U+4FA4	U+4FA4	null	KO	ta	null	null
U+4FA5	U+4FA5	null	null	jiǎo	null	null
U+4FA6	U+4FA6	null	null	zhēn	null	null
U+4FA7	U+4FA7	null	null	cè	null	null
U+4FA8	U+4FA8	null	null	qiáo	null	null
U+4FA0	U+4FA0	null	HYEP KYEP	xiá	OTOKODATE KYAN	KYOU
U+4FB4	U+4FB4	null	null	chǒu	null	CHUU
U+4FB5	U+4FB5	침	CHIM	qīn	OKASU	SHIN
U+4FB2	U+4FB2	진	CIN	zhèn	WARABE YOIWARABE UMAKAI HASHITAME	SHIN
U+4FB3	U+4FB3	null	CWA	zuò	HAZUKASHIMERU YASURAKA	SA
U+4FB8	U+4FB8	null	TWU	shù	null	null
U+4FB9	U+4FB9	null	CENG	tǐng	OTOKOGI NAOI TSUTSUSHIMU	TEI JOU CHOU
U+4FB6	U+4FB6	려	LYE	lǚ	TOMO	RYO RO
U+4FB7	U+4FB7	null	KWUK	jú	TAKEGAHIKUI SEMARU	KYOKU GOKU
U+4FB0	U+4FB0	null	null	jiǒng	null	null
U+4FB1	U+4FB1	null	null	chěng	null	null
U+4FAD	U+4FAD	null	null	jǐn	KOTOGOTOKU MAMA	JIN
U+4FAC	U+4FAC	null	null	nóng	null	null
U+4FAB	U+4FAB	null	null	nìng	OMONERU YOKOSHIMA	NEI DEI
U+4FAA	U+4FAA	null	null	chái	null	null
U+4FAF	U+4FAF	후	HWU	hóu	MATO KIMI	KOU
U+4FAE	U+4FAE	모	MO	wǔ	ANADORU ANADORI	BU
U+4FA9	U+4FA9	null	null	kuài	null	null
U+4FFA	U+4FFA	엄	EM EP	ǎn	ORE	EN
U+4FFD	U+4FFD	null	null	xīn	YOROKOBU	KIN KON
U+4FFE	U+4FFE	비	PI	bǐ	SHIMU	HI HEI
U+4FFB	U+4FFB	null	PI	bèi	null	BI
U+4FFC	U+4FFC	null	null	yù	KAYU HISAGU	IKU KIKU SHUKU
U+4FFF	U+4FFF	null	null	hǔ	KATATAGAI	CHI JI
U+4FEA	U+4FEA	null	null	lì	null	null
U+4FEB	U+4FEB	null	null	lái	null	RAI
U+4FEC	U+4FEC	null	null	si	null	null
U+4FED	U+4FED	null	null	jiǎn	null	null
U+4FEE	U+4FEE	수	SWU	xiū	OSAMERU	SHUU SHU
U+4FEF	U+4FEF	부	PWU	fǔ	FUSERU	FU
U+4FF3	U+4FF3	배	PAY	pái	WAZAOGI	HAI
U+4FF2	U+4FF2	null	HYO	xiào	NARAU	KOU
U+4FF5	U+4FF5	표	PHYO	biào	TAWARA	HYOU
U+4FF4	U+4FF4	천	CHEN	jiàn	ASAI HADAKA	SEN ZEN
U+4FF1	U+4FF1	구	KWU	jù	TOMONI	KU
U+4FF0	U+4FF0	화	HWA	huò	YAWARAGU	KA WA
U+4FF7	U+4FF7	null	PI	fèi	YABURERU YABURU SOMUKU	HI
U+4FF6	U+4FF6	숙	SWUK CHEK	chù	YOI HAJIME	SHUKU TEKI
U+4FF9	U+4FF9	null	A	yà	null	null
U+4FF8	U+4FF8	봉	PONG	fèng	FUCHI	HOU
U+4FDB	U+4FDB	면	MYEN	fǔ	FUSERU	BEN MEN FU
U+4FDC	U+4FDC	null	PING	pīng	TSUKAU OTOKODATE	HEI BYOU
U+4FDA	U+4FDA	리	LI	lǐ	IYASHII	RI
U+4FDF	U+4FDF	사	SA KI	qí	MATSU	SHI
U+4FDD	U+4FDD	보	PO	bǎo	TAMOTSU YASUNJIRU	HO HOU
U+4FDE	U+4FDE	null	YU	yú	SHIKARI	YU
U+4FE4	U+4FE4	null	CEY	dì	OMOKAGE	null
U+4FE3	U+4FE3	오	O	yǔ	MATA	null
U+4FE2	U+4FE2	null	null	xiū	OSAMERU OSAMARU	SHUU
U+4FE1	U+4FE1	신	SIN	xìn	MAKOTO TAYORI MAKASERU	SHIN
U+4FE0	U+4FE0	협	HYEP KYEP	xiá	OTOKODATE KYAN	KYOU
U+4FE9	U+4FE9	null	null	liǎ	null	null
U+4FE8	U+4FE8	null	null	yǎn	null	null
U+4FE7	U+4FE7	null	null	zhi	null	null
U+4FE6	U+4FE6	null	null	chóu	null	null
U+4FE5	U+4FE5	null	KE	chē	KURUMA	null
U+716F	U+716F	null	null	jiē	null	null
U+7173	U+7173	null	null	hú	null	null
U+7174	U+7174	null	null	yūn	IKIRE	UN ON
U+7175	U+7175	null	null	xiā	null	null
U+7176	U+7176	null	null	shi	null	null
U+7170	U+7170	null	null	gào	null	null
U+7171	U+7171	null	null	guā	null	null
U+7172	U+7172	null	null	bāo	null	null
U+7178	U+7178	null	null	biān	null	null
U+7177	U+7177	null	null	liang	null	null
U+7179	U+7179	null	null	gòu	NOROSHI	KOU KU
U+717D	U+717D	선	SEN	shān	AORU ODATERU OKORU	SEN
U+717C	U+717C	null	null	chǎo	null	null
U+717F	U+717F	null	null	bó	null	null
U+717E	U+717E	null	null	ēn	null	null
U+717B	U+717B	null	null	táng	null	null
U+717A	U+717A	null	null	tuì	null	null
U+715E	U+715E	살	SAL	shā	KOROSU	SATSU SAI SETSU
U+715F	U+715F	null	null	wèi	null	null
U+7164	U+7164	매	MAY	méi	SUSU	BAI MAI
U+7165	U+7165	환	HWAN	huàn	AKIRAKA	KAN
U+7162	U+7162	경	KYENG	qióng	null	KEI
U+7163	U+7163	null	null	róu	null	null
U+7160	U+7160	null	null	zhá	YAKU	YOU CHOU SOU JOU
U+7161	U+7161	null	null	xìn	null	null
U+7169	U+7169	번	PEN	fán	WAZURAU WAZURAWASU WAZURAWASHI	HAN BON
U+7168	U+7168	외	OY	wēi	UZUMIBI	WAI UTSU UCHI
U+7167	U+7167	조	CO	zhào	TERU TERASU TERI	SHOU
U+7166	U+7166	후	HWU	xù	ATATAMERU	KU
U+716E	U+716E	자	CA	zhǔ	NIRU NIERU	SHA SHO
U+716D	U+716D	null	null	liè	null	null
U+716C	U+716C	양	YANG	yáng	ABURU	YOU
U+716B	U+716B	null	null	suì	null	null
U+716A	U+716A	null	null	qiú	null	null
U+4EAA	U+4EAA	null	null	ye	null	null
U+7190	U+7190	null	null	mì	null	null
U+7191	U+7191	null	null	lián	null	null
U+7192	U+7192	형	HYENG	yíng	HIKARI	KEI GYOU KOU
U+4EAF	U+4EAF	null	null	xiǎng	null	KYOU KOU
U+7193	U+7193	null	null	wǔ	null	null
U+7194	U+7194	용	YONG	róng	IGATA TOKERU	YOU
U+4EAD	U+4EAD	정	CENG	tíng	AZUMAYA	TEI CHOU CHIN
U+7195	U+7195	null	null	gōng	OOZUTSU	KOU
U+4EAE	U+4EAE	량 양	LYANG	liàng	AKIRAKA SUKE	RYOU
U+7196	U+7196	null	null	yan	HONOO	EN
U+4EAB	U+4EAB	향	HYANG	xiǎng	SUSUMERU UKERU	KYOU
U+7197	U+7197	null	null	qiàng	null	null
U+4EAC	U+4EAC	경	KYENG	jīng	MIYAKO	KYOU KEI KIN
U+7198	U+7198	null	null	liū	null	null
U+4EB2	U+4EB2	null	null	qīn	null	null
U+4EB1	U+4EB1	null	YA	yè	YO YORU	YA
U+7199	U+7199	희	HUY	xī	HIKARI HIKARU	KI
U+4EB0	U+4EB0	null	KYENG	jīng	MIYAKO	KEI KYOU KIN
U+719B	U+719B	표	PHYO	biāo	null	HYOU
U+4EB9	U+4EB9	미	MI MWUN	mén	TSUTOMERU UTSUKUSHII	BI MI BON MON
U+719A	U+719A	null	null	bì	null	HITSU HICHI
U+4EB8	U+4EB8	null	null	duǒ	null	TA
U+719D	U+719D	null	null	lù	null	null
U+4EB7	U+4EB7	null	LYEM	lián	KADO YASUI	REN
U+719C	U+719C	null	null	cōng	null	null
U+4EB6	U+4EB6	단	TAN	dǎn	ATSUI MAKOTO	TAN SEN ZEN
U+719F	U+719F	숙	SWUK	shú	URERU NIRU TSURATSURA	JUKU
U+4EB5	U+4EB5	null	null	xiè	null	null
U+719E	U+719E	null	null	jiān	null	null
U+4EB4	U+4EB4	우	YU	yòu	null	null
U+4EB3	U+4EB3	박	PAK	bó	null	HAKU BAKU
U+7182	U+7182	null	null	xì	null	null
U+7183	U+7183	null	null	wù	null	null
U+7180	U+7180	엽	YEP	huǎng	SAKAN	YOU KYOU KOU
U+7181	U+7181	null	null	xié	null	null
U+7186	U+7186	null	null	hé	null	null
U+7187	U+7187	효	HYO HOK	hè	ATSUI	KOKU KAKU KOU
U+7184	U+7184	식	SIK	xī	KIERU YAMU	SOKU
U+7185	U+7185	온	ON	yùn	UZUMIBI	UN ON
